FÝRMA;TARÝH;URUN;MÝKTAR;BÝRÝM; BÝRÝM FÝYAT ; TUTAR 
GRENSAN;3.08.2022;PERFECT CREASE II 0,8*3,2 mm. 18 mt.;25;KUTU; ?257,75 ; ?6.443,82 
GRENSAN;3.08.2022;PERFECT CREASE II 0,6*2,7 mm. 25,5 mt.;50;KUTU; ?246,12 ; ?12.306,00 
GRENSAN;3.08.2022;PERFECT CREASE II 0,8*3,2 mm. 18 mt.;25;KUTU; ?246,12 ; ?6.153,00 
GRENSAN;12.08.2022;PERFECT CREASE II 1,0*5,0 mm. 15 mt.;10;KUTU; ?260,23 ; ?2.602,25 
GRENSAN;15.08.2022;X-PRESS 2,7*0,8*24 mt. TERS PÝLYAJ;1;KUTU; ?463,24 ; ?463,24 
GRENSAN;15.08.2022;X-PRESS 2,7*1,0*24 mt. TERS PÝLYAJ;1;KUTU; ?463,24 ; ?463,24 
GRENSAN;15.08.2022;X-PRESS 4,0*1,0*15 mt. TERS PÝLYAJ;1;KUTU; ?463,24 ; ?463,24 
GRENSAN;16.08.2022;PERFECT CREASE II 0,6*2,7 mm. 25,5 mt.;16;KUTU; ?257,38 ; ?4.118,08 
GRENSAN;16.08.2022;PERFECT CREASE II 0,8*3,2 mm. 18 mt.;75;KUTU; ?257,38 ; ?19.303,52 
GRENSAN;16.08.2022;PERFECT CREASE II 0,8*2,7 mm. 25,5 mt.;50;KUTU; ?257,38 ; ?12.869,01 
GRENSAN;16.08.2022;PINK 0,6*2,7 mm. 36 mt.;24;KUTU; ?367,69 ; ?8.824,46 
GRENSAN;19.08.2022;X-PRESS 2,7*1,2*18 mt. TERS PÝLYAJ;10;KUTU; ?458,25 ; ?4.582,45 
GRENSAN;5.09.2022;PERFECT CREASE II 0,8*3,2 mm. 18 mt.;75;KUTU; ?255,36 ; ?19.151,79 
GRENSAN;5.09.2022;PERFECT CREASE II 0,8*2,7 mm. 25,5 mt.;50;KUTU; ?255,36 ; ?12.767,86 
GRENSAN;7.09.2022;PERFECT CREASE II 1,0*5,0 mm. 15 mt;15;KUTU; ?254,45 ; ?3.816,77 
GRENSAN;23.09.2022;CORRUGATE U BEND 0,7*6,0 mm./4 (C2C);1;KUTU; ?507,87 ; ?507,87 
GRENSAN;6.10.2022;PERFECT CREASE II 1,0*5,0 mm. 15 mt.;20;KUTU; ?259,00 ; ?5.179,92 
GRENSAN;11.10.2022;X-PRESS 2,7*1,2*18 mt. TERS PÝLYAJ;10;KUTU; ?451,61 ; ?4.516,05 
GRENSAN;11.10.2022;X-PRESS 4,0*1,5*15 mt. TERS PÝLYAJ;10;KUTU; ?451,61 ; ?4.516,05 
GRENSAN;11.10.2022;PERFECT CREASE II 0,8*3,2 mm. 18 mt.;20;KUTU; ?252,90 ; ?5.057,98 
GRENSAN;14.10.2022;PERFECT CREASE II 0,8*3,2 mm. 18 mt.;75;KUTU; ?253,40 ; ?19.005,11 
GRENSAN;14.10.2022;PERFECT CREASE II 0,8*2,7 mm. 25,5 mt.;50;KUTU; ?253,40 ; ?12.670,07 
GRENSAN;7.11.2022;PERFECT CREASE II 0,8*3,2 mm. 18 mt.;75;KUTU; ?255,43 ; ?19.157,36 
GRENSAN;7.11.2022;PERFECT CREASE II 1,0*5,0 mm. 15 mt.;25;KUTU; ?255,43 ; ?6.385,79 
GRENSAN;28.11.2022;PERFECT CREASE II 0,8*3,2 mm. 18 mt.;50;KUTU; ?272,03 ; ?13.601,70 
GRENSAN;28.11.2022;PERFECT CREASE II 0,6*2,7 mm. 25,5 mt.;45;KUTU; ?272,03 ; ?12.241,53 
GRENSAN;28.11.2022;CORRUGATE U BEND 0,7*6,0 mm.;10;KUTU; ?544,07 ; ?5.440,68 
GRENSAN;28.11.2022;X-PRESS 2,7*1,0*18 mt. TERS PÝLYAJ;15;KUTU; ?485,78 ; ?7.286,63 
GRENSAN;7.12.2022;KISS 5,0*1,0*14,7 mt. Ha zýr Ol uk (1,0*5,0);20;KUTU; ?274,43 ; ?5.488,56 
GRENSAN;8.12.2022;PERFECT CREASE II 0,8*2,7 mm. 25,5 mt.;50;KUTU; ?273,92 ; ?13.696,20 
GRENSAN;15.12.2022;X-PRESS 4,0*1,0*15 mt. TERS PÝLYAJ;10;KUTU; ?497,51 ; ?4.975,10 
GRENSAN;15.12.2022;X-PRESS 2,7*1,0*18 mt. TERS PÝLYAJ;10;KUTU; ?497,51 ; ?4.975,10 
GRENSAN;30.12.2022;PERFECT CREASE II 0,8*3,2 mm. 18 mt.;20;KUTU; ?279,26 ; ?5.585,24 
